"","PassengerId","Survived","Pclass","Name","Sex","Age","Fare","Embarked","TamanyFamilia"
"39",39,0,3,"Vander Planke, Miss. Augusta Maria","female",18,18,"S",3
"40",40,1,3,"Nicola-Yarred, Miss. Jamila","female",14,11.2417,"C",2
"41",41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)","female",40,9.475,"S",2
"42",42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)","female",27,21,"S",2
"43",43,0,3,"Kraeff, Mr. Theodor","male",25,7.8958,"C",1
"44",44,1,2,"Laroche, Miss. Simonne Marie Anne Andree","female",3,41.5792,"C",4
"45",45,1,3,"Devaney, Miss. Margaret Delia","female",19,7.8792,"Q",1
"46",46,0,3,"Rogers, Mr. William John","male",21,8.05,"S",1
"47",47,0,3,"Lennon, Mr. Denis","male",18,15.5,"Q",2
"48",48,1,3,"O'Driscoll, Miss. Bridget","female",30.5,7.75,"Q",1
"49",49,0,3,"Samaan, Mr. Youssef","male",20,21.6792,"C",3
"50",50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)","female",18,17.8,"S",2
"51",51,0,3,"Panula, Master. Juha Niilo","male",7,39.6875,"S",6
"52",52,0,3,"Nosworthy, Mr. Richard Cater","male",21,7.8,"S",1
"53",53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)","female",49,76.7292,"C",2
"54",54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)","female",29,26,"S",2
"55",55,0,1,"Ostby, Mr. Engelhart Cornelius","male",65,61.9792,"C",2
"56",56,1,1,"Woolner, Mr. Hugh","male",65,35.5,"S",1
"57",57,1,2,"Rugg, Miss. Emily","female",21,10.5,"S",1
"58",58,0,3,"Novel, Mr. Mansouer","male",28.5,7.2292,"C",1
"59",59,1,2,"West, Miss. Constance Mirium","female",5,27.75,"S",4
"60",60,0,3,"Goodwin, Master. William Frederick","male",11,46.9,"S",8
"61",61,0,3,"Sirayanian, Mr. Orsen","male",22,7.2292,"C",1
"62",62,1,1,"Icard, Miss. Amelie","female",38,80,"C",1
"63",63,0,1,"Harris, Mr. Henry Birkhardt","male",45,83.475,"S",2
"64",64,0,3,"Skoog, Master. Harald","male",4,27.9,"S",6
"65",65,0,1,"Stewart, Mr. Albert A","male",22.5,27.7208,"C",1
"66",66,1,3,"Moubarek, Master. Gerios","male",21,15.2458,"C",3
"67",67,1,2,"Nye, Mrs. (Elizabeth Ramell)","female",29,10.5,"S",1
"68",68,0,3,"Crease, Mr. Ernest James","male",19,8.1583,"S",1
"69",69,1,3,"Andersson, Miss. Erna Alexandra","female",17,7.925,"S",7
"70",70,0,3,"Kink, Mr. Vincenz","male",26,8.6625,"S",3
"71",71,0,2,"Jenkin, Mr. Stephen Curnow","male",32,10.5,"S",1
"72",72,0,3,"Goodwin, Miss. Lillian Amy","female",16,46.9,"S",8
"73",73,0,2,"Hood, Mr. Ambrose Jr","male",21,73.5,"S",1
"74",74,0,3,"Chronopoulos, Mr. Apostolos","male",26,14.4542,"C",2
"75",75,1,3,"Bing, Mr. Lee","male",32,56.4958,"S",1
"76",76,0,3,"Moen, Mr. Sigurd Hansen","male",25,7.65,"S",1
"77",77,0,3,"Staneff, Mr. Ivan","male",27,7.8958,"S",1
"78",78,0,3,"Moutal, Mr. Rahamin Haim","male",43,8.05,"S",1
"79",79,1,2,"Caldwell, Master. Alden Gates","male",0.83,29,"S",3
"80",80,1,3,"Dowdell, Miss. Elizabeth","female",30,12.475,"S",1
"81",81,0,3,"Waelens, Mr. Achille","male",22,9,"S",1
"82",82,1,3,"Sheerlinck, Mr. Jan Baptist","male",29,9.5,"S",1
"83",83,1,3,"McDermott, Miss. Brigdet Delia","female",17,7.7875,"Q",1
"84",84,0,1,"Carrau, Mr. Francisco M","male",28,47.1,"S",1
"85",85,1,2,"Ilett, Miss. Bertha","female",17,10.5,"S",1
"86",86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)","female",33,15.85,"S",4
"87",87,0,3,"Ford, Mr. William Neal","male",16,34.375,"S",5
"88",88,0,3,"Slocovski, Mr. Selman Francis","male",26,8.05,"S",1
"89",89,1,1,"Fortune, Miss. Mabel Helen","female",23,263,"S",6
"90",90,0,3,"Celotti, Mr. Francesco","male",24,8.05,"S",1
"91",91,0,3,"Christmann, Mr. Emil","male",29,8.05,"S",1
"92",92,0,3,"Andreasson, Mr. Paul Edvin","male",20,7.8542,"S",1
"93",93,0,1,"Chaffee, Mr. Herbert Fuller","male",46,61.175,"S",2
"94",94,0,3,"Dean, Mr. Bertram Frank","male",26,20.575,"S",4
"95",95,0,3,"Coxon, Mr. Daniel","male",59,7.25,"S",1
"96",96,0,3,"Shorney, Mr. Charles Joseph","male",28,8.05,"S",1
"97",97,0,1,"Goldschmidt, Mr. George B","male",71,34.6542,"C",1
"98",98,1,1,"Greenfield, Mr. William Bertram","male",23,63.3583,"C",2
"99",99,1,2,"Doling, Mrs. John T (Ada Julia Bone)","female",34,23,"S",2
"100",100,0,2,"Kantor, Mr. Sinai","male",34,26,"S",2
"101",101,0,3,"Petranec, Miss. Matilda","female",28,7.8958,"S",1
"102",102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")","male",47,7.8958,"S",1
"103",103,0,1,"White, Mr. Richard Frasar","male",21,77.2875,"S",2
"104",104,0,3,"Johansson, Mr. Gustaf Joel","male",33,8.6542,"S",1
"105",105,0,3,"Gustafsson, Mr. Anders Vilhelm","male",37,7.925,"S",3
"106",106,0,3,"Mionoff, Mr. Stoytcho","male",28,7.8958,"S",1
"107",107,1,3,"Salkjelsvik, Miss. Anna Kristine","female",21,7.65,"S",1
"108",108,1,3,"Moss, Mr. Albert Johan","male",22,7.775,"S",1
"109",109,0,3,"Rekic, Mr. Tido","male",38,7.8958,"S",1
"110",110,1,3,"Moran, Miss. Bertha","female",21,24.15,"Q",2
"111",111,0,1,"Porter, Mr. Walter Chamberlain","male",47,52,"S",1
"112",112,0,3,"Zabour, Miss. Hileni","female",14.5,14.4542,"C",2
"113",113,0,3,"Barton, Mr. David John","male",22,8.05,"S",1
"114",114,0,3,"Jussila, Miss. Katriina","female",20,9.825,"S",2
"115",115,0,3,"Attalah, Miss. Malake","female",17,14.4583,"C",1
"116",116,0,3,"Pekoniemi, Mr. Edvard","male",21,7.925,"S",1
"117",117,0,3,"Connors, Mr. Patrick","male",70.5,7.75,"Q",1
"118",118,0,2,"Turpin, Mr. William John Robert","male",29,21,"S",2
"119",119,0,1,"Baxter, Mr. Quigg Edmond","male",24,247.5208,"C",2
"120",120,0,3,"Andersson, Miss. Ellis Anna Maria","female",2,31.275,"S",7
"121",121,0,2,"Hickman, Mr. Stanley George","male",21,73.5,"S",3
"122",122,0,3,"Moore, Mr. Leonard Charles","male",27,8.05,"S",1
"123",123,0,2,"Nasser, Mr. Nicholas","male",32.5,30.0708,"C",2
"124",124,1,2,"Webber, Miss. Susan","female",32.5,13,"S",1
"125",125,0,1,"White, Mr. Percival Wayland","male",54,77.2875,"S",2
"126",126,1,3,"Nicola-Yarred, Master. Elias","male",12,11.2417,"C",2
"127",127,0,3,"McMahon, Mr. Martin","male",25,7.75,"Q",1
"128",128,1,3,"Madsen, Mr. Fridtjof Arne","male",24,7.1417,"S",1
"129",129,1,3,"Peter, Miss. Anna","female",24,22.3583,"C",3
"130",130,0,3,"Ekstrom, Mr. Johan","male",45,6.975,"S",1
"131",131,0,3,"Drazenoic, Mr. Jozef","male",33,7.8958,"C",1
"132",132,0,3,"Coelho, Mr. Domingos Fernandeo","male",20,7.05,"S",1
"133",133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)","female",47,14.5,"S",2
"134",134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)","female",29,26,"S",2
"135",135,0,2,"Sobey, Mr. Samuel James Hayden","male",25,13,"S",1
"136",136,0,2,"Richard, Mr. Emile","male",23,15.0458,"C",1
"137",137,1,1,"Newsom, Miss. Helen Monypeny","female",19,26.2833,"S",3
"138",138,0,1,"Futrelle, Mr. Jacques Heath","male",37,53.1,"S",2
"139",139,0,3,"Osen, Mr. Olaf Elon","male",16,9.2167,"S",1
"140",140,0,1,"Giglio, Mr. Victor","male",24,79.2,"C",1
"141",141,0,3,"Boulos, Mrs. Joseph (Sultana)","female",31,15.2458,"C",3
"142",142,1,3,"Nysten, Miss. Anna Sofia","female",22,7.75,"S",1
"143",143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)","female",24,15.85,"S",2
"144",144,0,3,"Burke, Mr. Jeremiah","male",19,6.75,"Q",1
"145",145,0,2,"Andrew, Mr. Edgardo Samuel","male",18,11.5,"S",1
"146",146,0,2,"Nicholls, Mr. Joseph Charles","male",19,36.75,"S",3
"147",147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")","male",27,7.7958,"S",1
"148",148,0,3,"Ford, Miss. Robina Maggie ""Ruby""","female",9,34.375,"S",5
"149",149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")","male",36.5,26,"S",3
"150",150,0,2,"Byles, Rev. Thomas Roussel Davids","male",42,13,"S",1
"151",151,0,2,"Bateman, Rev. Robert James","male",51,12.525,"S",1
"152",152,1,1,"Pears, Mrs. Thomas (Edith Wearne)","female",22,66.6,"S",2
"153",153,0,3,"Meo, Mr. Alfonzo","male",55.5,8.05,"S",1
"154",154,0,3,"van Billiard, Mr. Austin Blyler","male",40.5,14.5,"S",3
"155",155,0,3,"Olsen, Mr. Ole Martin","male",39,7.3125,"S",1
"156",156,0,1,"Williams, Mr. Charles Duane","male",51,61.3792,"C",2
"157",157,1,3,"Gilnagh, Miss. Katherine ""Katie""","female",16,7.7333,"Q",1
"158",158,0,3,"Corn, Mr. Harry","male",30,8.05,"S",1
"159",159,0,3,"Smiljanic, Mr. Mile","male",18,8.6625,"S",1
"160",160,0,3,"Sage, Master. Thomas Henry","male",2,69.55,"S",11
"161",161,0,3,"Cribb, Mr. John Hatfield","male",44,16.1,"S",2
"162",162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)","female",40,15.75,"S",1
"163",163,0,3,"Bengtsson, Mr. John Viktor","male",26,7.775,"S",1
"164",164,0,3,"Calic, Mr. Jovo","male",17,8.6625,"S",1
"165",165,0,3,"Panula, Master. Eino Viljami","male",1,39.6875,"S",6
"166",166,1,3,"Goldsmith, Master. Frank John William ""Frankie""","male",9,20.525,"S",3
"167",167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)","female",31,55,"S",2
"168",168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)","female",45,27.9,"S",6
"169",169,0,1,"Baumann, Mr. John D","male",40,25.925,"S",1
"170",170,0,3,"Ling, Mr. Lee","male",28,56.4958,"S",1
"171",171,0,1,"Van der hoef, Mr. Wyckoff","male",61,33.5,"S",1
"172",172,0,3,"Rice, Master. Arthur","male",4,29.125,"Q",6
"173",173,1,3,"Johnson, Miss. Eleanor Ileen","female",1,11.1333,"S",3
"174",174,0,3,"Sivola, Mr. Antti Wilhelm","male",21,7.925,"S",1
"175",175,0,1,"Smith, Mr. James Clinch","male",56,30.6958,"C",1
"176",176,0,3,"Klasen, Mr. Klas Albin","male",18,7.8542,"S",3
"177",177,0,3,"Lefebre, Master. Henry Forbes","male",24,25.4667,"S",5
"178",178,0,1,"Isham, Miss. Ann Elizabeth","female",50,28.7125,"C",1
"179",179,0,2,"Hale, Mr. Reginald","male",30,13,"S",1
"180",180,0,3,"Leonard, Mr. Lionel","male",36,7.8958,"S",1
"181",181,0,3,"Sage, Miss. Constance Gladys","female",11,69.55,"S",11
"182",182,0,2,"Pernot, Mr. Rene","male",25,15.05,"C",1
"183",183,0,3,"Asplund, Master. Clarence Gustaf Hugo","male",9,31.3875,"S",7
"184",184,1,2,"Becker, Master. Richard F","male",1,39,"S",4
"185",185,1,3,"Kink-Heilmann, Miss. Luise Gretchen","female",4,22.025,"S",3
"186",186,0,1,"Rood, Mr. Hugh Roscoe","male",61,50,"S",1
"187",187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)","female",19,15.5,"Q",2
"188",188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")","male",45,26.55,"S",1
"189",189,0,3,"Bourke, Mr. John","male",40,15.5,"Q",3
"190",190,0,3,"Turcin, Mr. Stjepan","male",36,7.8958,"S",1
"191",191,1,2,"Pinsky, Mrs. (Rosa)","female",32,13,"S",1
"192",192,0,2,"Carbines, Mr. William","male",19,13,"S",1
"193",193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine","female",19,7.8542,"S",2
"194",194,1,2,"Navratil, Master. Michel M","male",3,26,"S",3
"195",195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)","female",44,27.7208,"C",1
"196",196,1,1,"Lurette, Miss. Elise","female",58,146.5208,"C",1
"197",197,0,3,"Mernagh, Mr. Robert","male",29,7.75,"Q",1
"198",198,0,3,"Olsen, Mr. Karl Siegwart Andreas","male",42,8.4042,"S",2
"199",199,1,3,"Madigan, Miss. Margaret ""Maggie""","female",50,7.75,"Q",1
"200",200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")","female",24,13,"S",1
"201",201,0,3,"Vande Walle, Mr. Nestor Cyriel","male",28,9.5,"S",1
"202",202,0,3,"Sage, Mr. Frederick","male",9,69.55,"S",11
"203",203,0,3,"Johanson, Mr. Jakob Alfred","male",34,6.4958,"S",1
"204",204,0,3,"Youseff, Mr. Gerious","male",45.5,7.225,"C",1
"205",205,1,3,"Cohen, Mr. Gurshon ""Gus""","male",18,8.05,"S",1
"206",206,0,3,"Strom, Miss. Telma Matilda","female",2,10.4625,"S",2
"207",207,0,3,"Backstrom, Mr. Karl Alfred","male",32,15.85,"S",2
"208",208,1,3,"Albimona, Mr. Nassef Cassem","male",26,18.7875,"C",1
"209",209,1,3,"Carr, Miss. Helen ""Ellen""","female",16,7.75,"Q",1
"210",210,1,1,"Blank, Mr. Henry","male",40,31,"C",1
"211",211,0,3,"Ali, Mr. Ahmed","male",24,7.05,"S",1
"212",212,1,2,"Cameron, Miss. Clear Annie","female",35,21,"S",1
"213",213,0,3,"Perkin, Mr. John Henry","male",22,7.25,"S",1
"214",214,0,2,"Givard, Mr. Hans Kristensen","male",30,13,"S",1
"215",215,0,3,"Kiernan, Mr. Philip","male",22,7.75,"Q",2
"216",216,1,1,"Newell, Miss. Madeleine","female",31,113.275,"C",2
"217",217,1,3,"Honkanen, Miss. Eliina","female",27,7.925,"S",1
"218",218,0,2,"Jacobsohn, Mr. Sidney Samuel","male",42,27,"S",2
"219",219,1,1,"Bazzani, Miss. Albina","female",32,76.2917,"C",1
"220",220,0,2,"Harris, Mr. Walter","male",30,10.5,"S",1
"221",221,1,3,"Sunderland, Mr. Victor Francis","male",16,8.05,"S",1
"222",222,0,2,"Bracken, Mr. James H","male",27,13,"S",1
"223",223,0,3,"Green, Mr. George Henry","male",51,8.05,"S",1
"224",224,0,3,"Nenkoff, Mr. Christo","male",57,7.8958,"S",1
"225",225,1,1,"Hoyt, Mr. Frederick Maxfield","male",38,90,"S",2
"226",226,0,3,"Berglund, Mr. Karl Ivar Sven","male",22,9.35,"S",1
"227",227,1,2,"Mellors, Mr. William John","male",19,10.5,"S",1
"228",228,0,3,"Lovell, Mr. John Hall (""Henry"")","male",20.5,7.25,"S",1
"229",229,0,2,"Fahlstrom, Mr. Arne Jonas","male",18,13,"S",1
"230",230,0,3,"Lefebre, Miss. Mathilde","female",9,25.4667,"S",5
"231",231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)","female",35,83.475,"S",2
"232",232,0,3,"Larsson, Mr. Bengt Edvin","male",29,7.775,"S",1
"233",233,0,2,"Sjostedt, Mr. Ernst Adolf","male",59,13.5,"S",1
"234",234,1,3,"Asplund, Miss. Lillian Gertrud","female",5,31.3875,"S",7
"235",235,0,2,"Leyson, Mr. Robert William Norman","male",24,10.5,"S",1
"236",236,0,3,"Harknett, Miss. Alice Phoebe","female",20,7.55,"S",1
"237",237,0,2,"Hold, Mr. Stephen","male",44,26,"S",2
"238",238,1,2,"Collyer, Miss. Marjorie ""Lottie""","female",8,26.25,"S",3
"239",239,0,2,"Pengelly, Mr. Frederick William","male",19,10.5,"S",1
"240",240,0,2,"Hunt, Mr. George Henry","male",33,12.275,"S",1
"241",241,0,3,"Zabour, Miss. Thamine","female",26.5,14.4542,"C",2
"242",242,1,3,"Murphy, Miss. Katherine ""Kate""","female",37,15.5,"Q",2
"243",243,0,2,"Coleridge, Mr. Reginald Charles","male",29,10.5,"S",1
"244",244,0,3,"Maenpaa, Mr. Matti Alexanteri","male",22,7.125,"S",1
"245",245,0,3,"Attalah, Mr. Sleiman","male",30,7.225,"C",1
"246",246,0,1,"Minahan, Dr. William Edward","male",44,90,"Q",3
"247",247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria","female",25,7.775,"S",1
"248",248,1,2,"Hamalainen, Mrs. William (Anna)","female",24,14.5,"S",3
"249",249,1,1,"Beckwith, Mr. Richard Leonard","male",37,52.5542,"S",3
"250",250,0,2,"Carter, Rev. Ernest Courtenay","male",54,26,"S",2
"251",251,0,3,"Reed, Mr. James George","male",22,7.25,"S",1
"252",252,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)","female",29,10.4625,"S",3
"253",253,0,1,"Stead, Mr. William Thomas","male",62,26.55,"S",1
"254",254,0,3,"Lobb, Mr. William Arthur","male",30,16.1,"S",2
"255",255,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)","female",41,20.2125,"S",3
"256",256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)","female",29,15.2458,"C",3
"257",257,1,1,"Thorne, Mrs. Gertrude Maybelle","female",30,79.2,"C",1
"258",258,1,1,"Cherry, Miss. Gladys","female",30,86.5,"S",1
"259",259,1,1,"Ward, Miss. Anna","female",35,512.3292,"C",1
"260",260,1,2,"Parrish, Mrs. (Lutie Davis)","female",50,26,"S",2
"261",261,0,3,"Smith, Mr. Thomas","male",70,7.75,"Q",1
"262",262,1,3,"Asplund, Master. Edvin Rojj Felix","male",3,31.3875,"S",7
"263",263,0,1,"Taussig, Mr. Emil","male",52,79.65,"S",3
"264",264,0,1,"Harrison, Mr. William","male",40,30.5,"S",1
"265",265,0,3,"Henry, Miss. Delia","female",22,7.75,"Q",1
"266",266,0,2,"Reeves, Mr. David","male",36,10.5,"S",1
"267",267,0,3,"Panula, Mr. Ernesti Arvid","male",16,39.6875,"S",6
"268",268,1,3,"Persson, Mr. Ernst Ulrik","male",25,7.775,"S",2
"269",269,1,1,"Graham, Mrs. William Thompson (Edith Junkins)","female",58,153.4625,"S",2
"270",270,1,1,"Bissette, Miss. Amelia","female",35,135.6333,"S",1
"271",271,0,1,"Cairns, Mr. Alexander","male",34,31,"S",1
"272",272,1,3,"Tornquist, Mr. William Henry","male",25,7.775,"S",1
"273",273,1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)","female",41,19.5,"S",2
"274",274,0,1,"Natsch, Mr. Charles H","male",37,29.7,"C",2
"275",275,1,3,"Healy, Miss. Hanora ""Nora""","female",24,7.75,"Q",1
"276",276,1,1,"Andrews, Miss. Kornelia Theodosia","female",63,77.9583,"S",2
"277",277,0,3,"Lindblom, Miss. Augusta Charlotta","female",45,7.75,"S",1
"278",278,0,2,"Parkes, Mr. Francis ""Frank""","male",40,15.75,"S",1
"279",279,0,3,"Rice, Master. Eric","male",7,29.125,"Q",6
"280",280,1,3,"Abbott, Mrs. Stanton (Rosa Hunt)","female",35,20.25,"S",3
"281",281,0,3,"Duane, Mr. Frank","male",65,7.75,"Q",1
"282",282,0,3,"Olsson, Mr. Nils Johan Goransson","male",28,7.8542,"S",1
"283",283,0,3,"de Pelsmaeker, Mr. Alfons","male",16,9.5,"S",1
"284",284,1,3,"Dorking, Mr. Edward Arthur","male",19,8.05,"S",1
"285",285,0,1,"Smith, Mr. Richard William","male",42,26,"S",1
"286",286,0,3,"Stankovic, Mr. Ivan","male",33,8.6625,"C",1
"287",287,1,3,"de Mulder, Mr. Theodore","male",30,9.5,"S",1
"288",288,0,3,"Naidenoff, Mr. Penko","male",22,7.8958,"S",1
"289",289,1,2,"Hosono, Mr. Masabumi","male",42,13,"S",1
"290",290,1,3,"Connolly, Miss. Kate","female",22,7.75,"Q",1
"291",291,1,1,"Barber, Miss. Ellen ""Nellie""","female",26,78.85,"S",1
"292",292,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)","female",19,91.0792,"C",2
"293",293,0,2,"Levy, Mr. Rene Jacques","male",36,12.875,"C",1
"294",294,0,3,"Haas, Miss. Aloisia","female",24,8.85,"S",1
"295",295,0,3,"Mineff, Mr. Ivan","male",24,7.8958,"S",1
"296",296,0,1,"Lewy, Mr. Ervin G","male",39,27.7208,"C",1
"297",297,0,3,"Hanna, Mr. Mansour","male",23.5,7.2292,"C",1
"298",298,0,1,"Allison, Miss. Helen Loraine","female",2,151.55,"S",4
"299",299,1,1,"Saalfeld, Mr. Adolphe","male",40,30.5,"S",1
"300",300,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)","female",50,247.5208,"C",2
"301",301,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""","female",35,7.75,"Q",1
"302",302,1,3,"McCoy, Mr. Bernard","male",45,23.25,"Q",3
"303",303,0,3,"Johnson, Mr. William Cahoone Jr","male",19,8.05,"S",1
"304",304,1,2,"Keane, Miss. Nora A","female",20,12.35,"Q",1
"305",305,0,3,"Williams, Mr. Howard Hugh ""Harry""","male",36,8.05,"S",1
"306",306,1,1,"Allison, Master. Hudson Trevor","male",0.92,151.55,"S",4
"307",307,1,1,"Fleming, Miss. Margaret","female",22,110.8833,"C",1
"308",308,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)","female",17,108.9,"C",2
"309",309,0,2,"Abelson, Mr. Samuel","male",30,24,"C",2
"310",310,1,1,"Francatelli, Miss. Laura Mabel","female",30,56.9292,"C",1
"311",311,1,1,"Hays, Miss. Margaret Bechstein","female",24,83.1583,"C",1
"312",312,1,1,"Ryerson, Miss. Emily Borie","female",18,262.375,"C",5
"313",313,0,2,"Lahtinen, Mrs. William (Anna Sylfven)","female",26,26,"S",3
"314",314,0,3,"Hendekovic, Mr. Ignjac","male",28,7.8958,"S",1
"315",315,0,2,"Hart, Mr. Benjamin","male",43,26.25,"S",3
"316",316,1,3,"Nilsson, Miss. Helmina Josefina","female",26,7.8542,"S",1
"317",317,1,2,"Kantor, Mrs. Sinai (Miriam Sternin)","female",24,26,"S",2
"318",318,0,2,"Moraweck, Dr. Ernest","male",54,14,"S",1
"319",319,1,1,"Wick, Miss. Mary Natalie","female",31,164.8667,"S",3
"320",320,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)","female",40,134.5,"C",3
"321",321,0,3,"Dennis, Mr. Samuel","male",22,7.25,"S",1
"322",322,0,3,"Danoff, Mr. Yoto","male",27,7.8958,"S",1
"323",323,1,2,"Slayter, Miss. Hilda Mary","female",30,12.35,"Q",1
"324",324,1,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)","female",22,29,"S",3
"325",325,0,3,"Sage, Mr. George John Jr","male",13,69.55,"S",11
"326",326,1,1,"Young, Miss. Marie Grice","female",36,135.6333,"C",1
"327",327,0,3,"Nysveen, Mr. Johan Hansen","male",61,6.2375,"S",1
"328",328,1,2,"Ball, Mrs. (Ada E Hall)","female",36,13,"S",1
"329",329,1,3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)","female",31,20.525,"S",3
"330",330,1,1,"Hippach, Miss. Jean Gertrude","female",16,57.9792,"C",2
"331",331,1,3,"McCoy, Miss. Agnes","female",48,23.25,"Q",3
"332",332,0,1,"Partner, Mr. Austen","male",45.5,28.5,"S",1
"333",333,0,1,"Graham, Mr. George Edward","male",38,153.4625,"S",2
"334",334,0,3,"Vander Planke, Mr. Leo Edmondus","male",16,18,"S",3
"335",335,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)","female",33,133.65,"S",2
"336",336,0,3,"Denkoff, Mr. Mitto","male",21,7.8958,"S",1
"337",337,0,1,"Pears, Mr. Thomas Clinton","male",29,66.6,"S",2
"338",338,1,1,"Burns, Miss. Elizabeth Margaret","female",41,134.5,"C",1
